,linkId,Speed,DataAsOf
114,4456505,41.01,2021-01-29 14:39:03
115,4362314,52.19,2021-01-29 14:39:03
116,4456506,49.7,2021-01-29 14:39:03
117,4763656,46.6,2021-01-29 14:39:05
118,4763652,40.38,2021-01-29 14:39:05
119,4616218,47.22,2021-01-29 14:39:12
120,4616219,40.38,2021-01-29 14:39:12
121,4763651,45.98,2021-01-29 14:39:05
122,4763649,41.63,2021-01-29 14:39:05
123,4616205,39.14,2021-01-29 14:39:04
125,4616298,22.99,2021-01-29 14:39:12
126,4616299,32.31,2021-01-29 14:39:12
127,4616300,32.31,2021-01-29 14:39:12
128,4616276,29.2,2021-01-29 14:39:04
130,4616259,21.74,2021-01-29 14:39:12
131,4616241,27.34,2021-01-29 14:39:12
132,4616213,57.16,2021-01-29 14:39:04
133,4616214,57.78,2021-01-29 14:39:04
136,4616212,47.22,2021-01-29 14:39:12
137,4616198,47.22,2021-01-29 14:39:12
138,4616202,60.27,2021-01-29 14:39:04
140,4616200,34.17,2021-01-29 14:39:12
142,4616201,57.16,2021-01-29 14:39:04
150,4616346,44.11,2021-01-29 14:39:04
151,4456500,45.36,2021-01-29 14:39:03
152,4616239,27.34,2021-01-29 14:39:12
